NITROGENusedForCorn,NITROGENusedForCotton,NITROGENusedForSoybeans,NITROGENusedForWheat,NITROGENusedForOther,TOTALUSNitrogen (N),TOTALUSPhosphate (P2O5),TOTALUSPotash (K2O),Total_US_ALL,Year ending June 30
1623.0,394.0,16.0,353.0,1967.0,4353.0,3378.0,2730.0,10460.0,1964.0
2151.0,453.0,19.0,427.0,1589.0,4639.0,3512.0,2835.0,10985.0,1965.0
2596.0,330.0,40.0,424.0,1935.0,5326.0,3897.0,3221.0,12445.0,1966.0
3044.0,269.0,56.0,624.0,2035.0,6027.0,4305.0,3642.0,13974.0,1967.0
3116.0,319.0,67.0,624.0,2663.0,6788.0,4453.0,3793.0,15034.0,1968.0
3287.0,405.0,48.0,569.0,2648.0,6958.0,4666.0,3892.0,15515.0,1969.0
3520.0,323.0,63.0,580.0,2974.0,7459.0,4574.0,4036.0,16068.0,1970.0
3730.0,343.0,62.0,614.0,3385.0,8134.0,4803.0,4231.0,17168.0,1971.0
3705.0,404.0,72.0,783.0,3057.0,8022.0,4864.0,4327.0,17213.0,1972.0
3830.0,337.0,95.0,896.0,3137.0,8295.0,5085.0,4649.0,18029.0,1973.0
3773.0,421.0,87.0,1078.0,3798.0,9157.0,5099.0,5083.0,19338.0,1974.0
3885.0,240.0,74.0,1085.0,3317.0,8601.0,4507.0,4453.0,17561.0,1975.0
5210.0,353.0,70.0,1456.0,3322.0,10412.0,5228.0,5210.0,20849.0,1976.0
5181.0,416.0,113.0,1279.0,3658.0,10647.0,5630.0,5834.0,22111.0,1977.0
4888.0,351.0,138.0,1047.0,3542.0,9965.0,5096.0,5526.0,20587.0,1978.0
5274.0,352.0,149.0,1253.0,3686.0,10715.0,5606.0,6245.0,22565.0,1979.0
5244.0,371.0,137.0,1570.0,4085.0,11407.0,5432.0,6245.0,23083.0,1980.0
5588.0,387.0,128.0,1791.0,4030.0,11924.0,5434.0,6320.0,23678.0,1981.0
5360.0,330.0,102.0,1781.0,3410.0,10983.0,4814.0,5631.0,21428.0,1982.0
3960.0,218.0,115.0,1651.0,3183.0,9127.0,4138.0,4831.0,18096.0,1983.0
5391.0,343.0,115.0,1866.0,3377.0,11092.0,4901.0,5797.0,21790.0,1984.0
5666.0,325.0,80.0,1746.0,3675.0,11493.0,4658.0,5553.0,21703.0,1985.0
4807.0,309.0,82.0,1708.0,3518.0,10424.0,4178.0,5053.0,19655.0,1986.0
4194.0,324.0,87.0,1633.0,3971.0,10210.0,4008.0,4837.0,19054.0,1987.0
4499.0,390.0,104.0,1740.0,3778.0,10512.0,4129.0,4973.0,19613.0,1988.0
4601.0,347.0,93.0,1924.0,3628.0,10593.0,4117.0,4838.0,19548.0,1989.0
4748.0,419.0,118.0,1800.0,3990.0,11076.0,4345.0,5203.0,20624.0,1990.0
4715.0,477.0,118.0,1734.0,4243.0,11287.0,4201.0,5001.0,20489.0,1991.0
4887.0,466.0,98.0,1889.0,4106.0,11446.0,4218.0,5042.0,20706.0,1992.0
4369.0,508.0,84.0,1986.0,4445.0,11393.0,4436.0,5141.0,20969.0,1993.0
4603.0,649.0,100.0,2050.0,5240.0,12643.0,4521.0,5268.0,22432.0,1994.0
4158.0,700.0,154.0,1955.0,4752.0,11719.0,4425.0,5128.0,21272.0,1995.0
4829.0,563.0,116.0,2208.0,4588.0,12303.0,4527.0,5258.0,22088.0,1996.0
4792.0,525.0,175.0,2043.0,4816.0,12352.0,4612.0,5425.0,22388.0,1997.0
4846.0,472.0,141.0,2017.0,4837.0,12313.0,4615.0,5301.0,22229.0,1998.0
4650.0,544.0,139.0,1907.0,5212.0,12452.0,4254.0,4954.0,21660.0,1999.0
4909.0,567.0,160.0,1891.0,4808.0,12334.0,4314.0,4972.0,21619.0,2000.0
4249.0,569.0,148.0,1764.0,4805.0,11535.0,4257.0,4926.0,20718.0,2001.0
4720.0,508.0,155.0,1751.0,4875.0,12009.0,4630.0,4982.0,21621.0,2002.0
4710.0,508.0,154.0,1804.0,4916.0,12092.0,4291.0,4950.0,21333.0,2003.0
4792.0,502.0,156.0,1957.0,5621.0,13028.0,4825.0,5520.0,23372.0,2004.0
5023.0,517.0,151.0,1625.0,5021.0,12337.0,4638.0,5173.0,22148.0,2005.0
4690.0,559.0,109.0,1430.0,5256.0,12044.0,4479.0,4723.0,21245.0,2006.0
5714.0,441.0,121.0,1689.0,5229.0,13194.0,4572.0,5133.0,22899.0,2007.0
5224.0,421.0,120.0,1647.0,5149.0,12561.0,4247.0,4660.0,21468.0,2008.0
4875.0,345.0,101.0,1394.0,4746.0,11461.0,3138.0,3081.0,17679.0,2009.0
